Egg_ID,ID,toeClip,TissueBox,sex,clutch,egg_encl_ID,mating_encl_ID,current_encl,species,trt,yolk,temp,mortality,liz_status,season,date_egg_laid_(day/m/year)),date_egg_laid_(year/m/day),hatch_date_(year/m/day),Hatch_data_(day/m/year),egg_mass,egg_length_mm,egg_width_mm,post_extract_mass,X.reduction,hatch_mass,hatch_svl,hatch_tl,hatch_total,death_date,notes
EG160,NA,NA,,NA,CL60,E17,NA,,delicata,C-28,C,28,0,NA,2019/20,,19/12/2019,NA,,0.115,9.86,6.18,NA,NA,NA,NA,NA,NA,,very shriveled egg
EG165,NA,NA,,NA,CL63,E50,NA,,delicata,C-28,C,28,1,NA,2019/20,,20/1/2009,NA,,0.132,8.38,5.47,NA,NA,NA,NA,NA,NA,19/1/2020,died 19 Jan 2020
EG171,NA,NA,,NA,CL65,E59,NA,,delicata,C-28,C,28,1,NA,2019/20,,20/1/2009,NA,,0.123,8.64,5.61,NA,NA,NA,NA,NA,NA,,EXCLUDE FROM EXPERIMENT. Left on lab bench for 5 days. same tub but three separate clutches by the looks of it
EG177,NA,NA,,NA,CL67,E50,NA,,delicata,C-28,C,28,1,NA,2019/20,,20/1/2015,NA,,0.115,8.47,5.42,NA,NA,NA,NA,NA,NA,,egg dissected; no embryo. Must have died early
EG138,LD602,"""2224""",Box 1.21,m,CL52,E14,E017_M,,delicata,C-28,C,28,0,ALIVE,2019/20,,19/12/2008,20/1/2009,,0.104,8.4,4.86,NA,20/1/2009,0.087,17.779,24.703,42.482,,
EG064,LD601,"""1012""",Box 1.21,f,CL30,E7,E008_M,,delicata,A-23,A,23,0,ALIVE,2019/20,,19/11/2024,20/1/2009,,0.116,7.38,5.38,0.097,20/1/2009,0.076,16.403,20.261,36.664,,
EG077,LG021,NA,,m,CL33,E12,NA,,guichenoti,A-23,A,23,0,ALIVE,2019/20,,19/11/2026,20/1/2016,,0.185,8.62,5.86,0.166,20/1/2016,0.135,19.359,25.743,45.102,,
EG131,LD600,"""2(12)04""",Box 1.21,f,CL49,E8,E016_M,E016_M,delicata,C-28,C,28,0,ALIVE,2019/20,,19/12/2008,20/1/2007,,0.138,7.54,5.97,NA,20/1/2007,0.088,18.101,22.915,41.016,,
EG082,LG018,NA,,NA,CL35,E10,NA,,guichenoti,A-23,A,23,1,DEAD,2019/20,,19/11/2026,20/1/2015,,0.171,9.09,6.05,0.148,20/1/2015,0.134,18.854,25.364,44.218,,eggs stuck together
EG105,LG026,NA,,NA,CL41,E10,NA,,guichenoti,A-23,A,23,1,DEAD,2019/20,,19/12/2001,20/1/2019,,0.164,8.26,6.03,0.136,20/1/2019,0.124,18.466,22.331,40.797,,mostly water
EG135,LG035,NA,,NA,CL51,E10,NA,,guichenoti,A-23,A,23,1,DEAD,2019/20,,19/12/2008,20/1/2028,,0.172,8.79,5.89,0.146,20/1/2028,0.132,18.486,19.965,0,,hatched with no tail; was labelled as LG032
EG087,LG023,NA,,NA,CL36,E1,NA,,guichenoti,A-23,A,23,0,MISSING,2019/20,,19/11/2026,20/1/2017,,0.192,10.17,6.06,0.162,20/1/2017,0.158,19.017,24.288,43.305,,
EG006,NA,NA,,NA,CL003,E16,NA,,guichenoti,A-23,A,23,1,NA,2019/20,,19/11/2012,NA,,0.149,9.02,5.29,0.134,NA,NA,NA,NA,NA,,
EG014,NA,NA,,NA,CL009,E4,NA,,guichenoti,A-23,A,23,1,NA,2019/20,,19/11/2018,NA,,0.091,8.18,4.66,0.078,NA,NA,NA,NA,NA,,infertile
EG017,NA,NA,,NA,CL011,E9,NA,,guichenoti,A-23,A,23,1,NA,2019/20,,19/11/2018,NA,,0.133,7.64,5.72,0.115,NA,NA,NA,NA,NA,,
EG080,NA,NA,,NA,CL34,E8,NA,,guichenoti,A-23,A,23,1,NA,2019/20,,19/11/2026,NA,,0.183,8.87,5.84,0.174,NA,NA,NA,NA,NA,,egg not stuck together but right next to other two
EG103,NA,NA,,NA,CL40,E5,NA,,guichenoti,A-23,A,23,1,NA,2019/20,,19/12/2001,NA,,0.154,8.24,5.71,0.125,NA,NA,NA,NA,NA,,"good one; yolk; Egg died and dissected, no apparent embryo"
EG124,NA,NA,,NA,CL48,E1,NA,,guichenoti,A-23,A,23,1,NA,2019/20,,19/12/2005,NA,,0.209,9.67,6,0.184,NA,NA,NA,NA,NA,,
EG143,NA,NA,,NA,CL54,E16,NA,,guichenoti,A-23,A,23,1,NA,2019/20,,19/12/2008,NA,,0.118,8.33,5.09,0.097,NA,NA,NA,NA,NA,,bad one; stuck and may have got embryo
EG152,NA,NA,,NA,CL57,E11,NA,,guichenoti,A-23,A,23,1,NA,2019/20,,19/12/2017,NA,,0.178,9.04,5.71,0.146,NA,NA,NA,NA,NA,,
EG032,LD599,"""3120""",Box 1.21,f,CL018,E7,E007_M,E007_M,delicata,A-23,A,23,0,ALIVE,2019/20,,19/11/2020,20/1/2006,,0.115,8.82,4.91,0.096,20/1/2006,0.125,18.875,22.893,41.768,,
EG033,LD598,"""3305""",Box 1.21,f,CL018,E7,E018_M,E018_M,delicata,C-23,C,23,0,ALIVE,2019/20,,19/11/2020,20/1/2006,,0.11,7.99,4.82,NA,20/1/2006,0.107,17.24,24.16,41.4,,
EG028,LD597,"""33(234)(12)""",Box 1.21,f,CL017,E6,E019_M,E019_M,delicata,C-23,C,23,0,ALIVE,2019/20,,19/11/2020,20/1/2006,,0.118,8.45,5,NA,20/1/2006,0.107,16.393,21.771,38.164,,
EG127,LD595,"""5555""",Box 1.21,m,CL49,E8,E011_M,E011_M/E024_M,delicata,A-28,A,28,0,ALIVE,2019/20,,19/12/2008,20/1/2006,,0.139,7.66,5.83,0.115,20/1/2006,0.081,17.199,22.432,39.631,,
EG016,NA,NA,,NA,CL010,E5,NA,,guichenoti,A-28,A,28,1,NA,2019/20,,19/11/2018,NA,,0.141,8.17,5.06,0.12,NA,NA,NA,NA,NA,,
EG036,NA,NA,,NA,CL019,E12,NA,,guichenoti,A-28,A,28,1,NA,2019/20,,19/11/2022,NA,,0.173,8.94,6.09,0.151,NA,NA,NA,NA,NA,,eggs stuck together
EG038,NA,NA,,NA,CL020,E10,NA,,guichenoti,A-28,A,28,1,NA,2019/20,,19/11/2022,NA,,0.178,8.74,6.06,0.152,NA,NA,NA,NA,NA,,
EG052,NA,NA,,NA,CL024,E10,NA,,guichenoti,A-28,A,28,1,NA,2019/20,,19/11/2024,NA,,0.164,9.69,4.73,0.136,NA,NA,NA,NA,NA,19/1/2020,died 19 Jan 2020
EG069,NA,NA,,NA,CL31,E9,NA,,guichenoti,A-28,A,28,1,NA,2019/20,,19/11/2026,NA,,0.177,8.67,5.78,0.153,NA,NA,NA,NA,NA,19/1/2020,died 19 Jan 2020
EG074,NA,NA,,NA,CL33,E12,NA,,guichenoti,A-28,A,28,0,NA,2019/20,,19/11/2026,NA,,0.16,8.59,5.64,0.141,NA,NA,NA,NA,NA,19/1/2020,
EG075,NA,NA,,NA,CL33,E12,NA,,guichenoti,A-28,A,28,1,NA,2019/20,,19/11/2026,NA,,0.19,8.8,6.09,0.173,NA,NA,NA,NA,NA,,died 19 Jan 2020
EG079,NA,NA,,NA,CL34,E8,NA,,guichenoti,A-28,A,28,1,NA,2019/20,,19/11/2026,NA,,0.178,9.19,6.14,0.162,NA,NA,NA,NA,NA,22/2/2020,eggs stuck together; died 22.2.20
EG107,NA,NA,,NA,CL42,E1,NA,,guichenoti,A-28,A,28,1,NA,2019/20,,19/12/2001,NA,,0.169,8.87,6.01,0.142,NA,NA,NA,NA,NA,,water; but small yolk; maybe embryo
EG117,NA,NA,,NA,CL45,E4,NA,,guichenoti,A-28,A,28,1,NA,2019/20,,19/12/2005,NA,,0.188,10.1,5.98,0.151,NA,NA,NA,NA,NA,,Mortality not fair. Vermiculite dried out and far too little in the container
EG125,NA,NA,,NA,CL48,E1,NA,,guichenoti,A-28,A,28,1,NA,2019/20,,19/12/2005,NA,,0.187,10.31,5.49,0.16,NA,NA,NA,NA,NA,,
EG149,NA,NA,,NA,CL56,E11,NA,,guichenoti,A-28,A,28,1,NA,2019/20,,19/12/2015,NA,,0.166,9.3,5.45,0.141,NA,NA,NA,NA,NA,,good ablation; egg a bit shriveled
EG151,NA,NA,,NA,CL57,E11,NA,,guichenoti,A-28,A,28,1,NA,2019/20,,19/12/2017,NA,,0.175,8.66,5.83,0.156,NA,NA,NA,NA,NA,,Egg died and dissected; embryos nearly flly formed
EG154,NA,NA,,NA,CL58,E12,NA,,guichenoti,A-28,A,28,1,NA,2019/20,,19/12/2017,NA,,0.151,7.6,5.98,0.124,NA,NA,NA,NA,NA,,
EG027,LD594,"""5400""",Box 1.20,m,CL017,E6,E008_M,E018_M,delicata,A-23,A,23,0,ALIVE,2019/20,,19/11/2020,20/1/2006,,0.113,8.25,4.92,0.095,20/1/2006,0.09,16.538,20.217,36.755,,
EG120,LD593,"""2553""",Box 1.21,f,CL47,E14,E010_M,E010_M,delicata,A-23,A,23,0,ALIVE,2019/20,,19/12/2005,20/1/2006,,0.146,8.1,5.56,0.118,20/1/2006,0.084,17.797,22.96,40.757,,
EG121,LD592,"""1302""",Box 1.21,f,CL47,E14,E014_M,E014_M,delicata,C-28,C,28,0,ALIVE,2019/20,,19/12/2005,20/1/2006,,0.131,7.69,5.49,NA,20/1/2006,0.098,16.825,26.499,43.324,,
EG111,LD591,"""1225""",Box 1.21,f,CL43,E6,E017_M,,delicata,C-28,C,28,0,ALIVE,2019/20,,19/12/2001,20/1/2001,,0.117,8.45,4.94,NA,20/1/2001,0.101,17.625,23.317,40.942,,
EG001,LD588,"""2051""",Box 1.21,m,CL001,E13,E013_M,E013_M,delicata,C-23,C,23,0,ALIVE,2019/20,,19/11/2011,19/12/2029,,0.116,8.68,4.87,NA,19/12/2029,0.105,16.486,22.496,38.982,,
EG099,LD587,"""1020""",Box 1.21,f,CL38,E6,E013_M,,delicata,C-28,C,28,0,ALIVE,2019/20,,19/11/2027,19/12/2029,,0.105,7.79,4.84,NA,19/12/2029,0.095,17.581,23.257,40.838,,eggs together
EG108,LG028,NA,,m,CL42,E1,NA,,guichenoti,C-23,C,23,0,ALIVE,2019/20,,19/12/2001,20/1/2022,,0.173,9.21,5.97,NA,20/1/2022,0.141,16.965,21.909,38.874,,
EG118,LG030,NA,,NA,CL45,E4,NA,,guichenoti,C-23,C,23,1,DEAD,2019/20,,19/12/2005,20/1/2023,,0.185,9.49,5.97,NA,20/1/2023,0.148,19.08,24.304,43.384,25/1/2020,found dead 25/01/20
EG007,NA,NA,,NA,CL004,E2,NA,,guichenoti,C-23,C,23,1,NA,2019/20,,19/11/2012,NA,,0.098,7.65,5.37,NA,NA,NA,NA,NA,NA,,egg slightly collapsed when found
EG018,NA,NA,,NA,CL011,E9,NA,,guichenoti,C-23,C,23,1,NA,2019/20,,19/11/2018,NA,,0.126,8.43,5.42,NA,NA,NA,NA,NA,NA,,
EG068,NA,NA,,NA,CL31,E9,NA,,guichenoti,C-23,C,23,1,NA,2019/20,,19/11/2026,NA,,0.184,9.67,6.01,NA,NA,NA,NA,NA,NA,,
EG081,NA,NA,,NA,CL35,E10,NA,,guichenoti,C-23,C,23,1,NA,2019/20,,19/11/2026,NA,,0.178,9.39,5.56,NA,NA,NA,NA,NA,NA,,eggs stuck together
EG083,NA,NA,,NA,CL35,E10,NA,,guichenoti,C-23,C,23,1,NA,2019/20,,19/11/2026,NA,,0.162,9.82,5.54,NA,NA,NA,NA,NA,NA,,
EG119,NA,NA,,NA,CL46,E10,NA,,guichenoti,C-23,C,23,1,NA,2019/20,,19/12/2005,NA,,0.135,7.61,6.24,NA,NA,NA,NA,NA,NA,,
EG126,NA,NA,,NA,CL48,E1,NA,,guichenoti,C-23,C,23,1,NA,2019/20,,19/12/2005,NA,,0.17,9.22,5.57,NA,NA,NA,NA,NA,NA,19/1/2020,died 19 Jan 2020
EG089,LD586,"""0310""",Box 1.21,f,CL37,E13,E017_M,E007_M,delicata,C-28,C,28,0,ALIVE,2019/20,,19/11/2027,19/12/2029,,0.101,8.24,4.89,NA,19/12/2029,0.102,17.543,25.289,42.832,,most likely multiple clutches but all eggs laid close together
EG095,LD585,"""0340""",Box 1.21,f,CL37,E13,E012_M,,delicata,C-28,C,28,0,ALIVE,2019/20,,19/11/2027,19/12/2027,,0.096,7.96,4.99,NA,19/12/2027,0.09,17.678,22.854,40.532,,most likely multiple clutches but all eggs laid close together
EG102,LD584,"""11(235)0""",Box 1.21,m,CL39,E12,E014_M,E004_F120,delicata,C-28,C,28,0,ALIVE,2019/20,,19/11/2027,19/12/2026,,0.125,7.65,4.89,NA,19/12/2026,0.098,17.911,24.343,42.254,,eggs together
EG100,LD583,"""2(23)01""",Box 1.21,m,CL39,E12,E011_M,E011_M/E024_M,delicata,A-28,A,28,0,ALIVE,2019/20,,19/11/2027,19/12/2025,,0.114,7.59,4.95,0.095,19/12/2025,0.069,16.229,21.104,37.333,,eggs together
EG065,LD582,"""0214""",Box 1.21,f,CL30,E7,E014_M,E014_M,delicata,C-28,C,28,0,ALIVE,2019/20,,19/11/2024,19/12/2022,,0.102,8.25,4.69,NA,19/12/2022,0.101,18.276,25.204,43.48,,photo has incorrect ID number LD0572 (use matching date instead)
EG050,LD581,"""0351""",Box 1.21,m,CL023,E8,E017_M,E007_M,delicata,C-28,C,28,0,ALIVE,2019/20,,19/11/2024,19/12/2022,,0.123,8.06,4.9,NA,19/12/2022,0.128,19.06,26.303,45.363,,
EG056,LD580,"""0104""",Box 1.21,f,CL027,E6,E015_M,E015_M,delicata,C-28,C,28,0,ALIVE,2019/20,,19/11/2024,19/12/2023,,0.128,8.88,4.98,NA,19/12/2023,0.112,20.092,26.738,48.707,,might be recorded on the camera as photographed as LD0576
EG061,LD579,"""0402""",Box 1.21,f,CL029,E15,E012_M,,delicata,C-28,C,28,0,ALIVE,2019/20,,19/11/2024,19/12/2022,,0.102,8.59,4.43,NA,19/12/2022,0.097,16.728,22.551,39.279,,
EG044,LD578,"""4100""",Box 1.21,f,CL022,E7,E007_M,,delicata,A-28,A,28,0,ALIVE,2019/20,,19/11/2024,19/12/2021,,0.129,7.02,4.93,0.103,19/12/2021,0.091,17.436,20.478,37.914,,
EG043,LD576,"""2(34)33""",Box 1.21,f,CL022,E7,E017_M,E007_M,delicata,C-28,C,28,0,ALIVE,2019/20,,19/11/2024,19/12/2021,,0.126,7.81,4.93,NA,19/12/2021,0.096,17.176,25.033,42.209,,
EG008,NA,NA,,NA,CL005,E4,NA,,guichenoti,C-28,C,28,1,NA,2019/20,,19/11/2015,NA,,0.069,NA,NA,NA,NA,NA,NA,NA,NA,,probably infertile
EG019,NA,NA,,NA,CL011,E9,NA,,guichenoti,C-28,C,28,1,NA,2019/20,,19/11/2018,NA,,0.141,9.31,5.35,NA,NA,NA,NA,NA,NA,,
EG037,NA,NA,,NA,CL020,E10,NA,,guichenoti,C-28,C,28,1,NA,2019/20,,19/11/2022,NA,,0.176,8.74,5.59,NA,NA,NA,NA,NA,NA,,
EG076,NA,NA,,NA,CL33,E12,NA,,guichenoti,C-28,C,28,1,NA,2019/20,,19/11/2026,NA,,0.132,9.72,4.48,NA,NA,NA,NA,NA,NA,,quite deflated upon collection
EG132,NA,NA,,NA,CL50,E1,NA,,guichenoti,C-28,C,28,1,NA,2019/20,,19/12/2008,NA,,0.087,9.18,4.24,NA,NA,NA,NA,NA,NA,,shrivelled; may not survive
EG162,NA,NA,,NA,CL62,E13,NA,,guichenoti,C-28,C,28,1,NA,2019/20,,20/1/2005,NA,,0.104,8.18,4.74,NA,NA,NA,NA,NA,NA,5/2/2020,shriveled a bit; died 5/2/2020
EG031,LD575,"""0020""",Box 1.21,m,CL018,E7,E012_M,,delicata,C-28,C,28,0,ALIVE,2019/20,,19/11/2020,19/12/2017,,0.114,8.58,5.08,NA,19/12/2017,0.12,17.15,24.492,41.642,,
EG030,LD574,"""3500""",Box 1.21,m,CL018,E7,E009_M,E009_M,delicata,A-28,A,28,1,DEAD,2019/20,,19/11/2020,19/12/2017,,0.131,8.14,5.21,0.115,19/12/2017,0.101,17.732,24.496,42.228,18/10/2022,dead 18/10/2022
EG010,NA,NA,,NA,CL007,E12,NA,,NA,A-23,A,23,1,NA,2019/20,,19/11/2018,NA,,0.176,9.39,5.93,0.15,NA,NA,NA,NA,NA,,eggs not stuck together
EG021,NA,NA,,NA,CL012,E8,NA,,NA,A-28,A,28,1,NA,2019/20,,19/11/2018,NA,,0.115,7.74,5.29,0.092,NA,NA,NA,NA,NA,,"think guich, eggs not stuck together"
EG022,NA,NA,,NA,CL013,E8,NA,,NA,A-28,A,28,1,NA,2019/20,,19/11/2018,NA,,0.122,7.86,5.46,0.081,NA,NA,NA,NA,NA,,"think deli, eggs stuck together"
EG011,NA,NA,,NA,CL007,E12,NA,,NA,C-23,C,23,1,NA,2019/20,,19/11/2018,NA,,0.177,8.87,5.8,NA,NA,NA,NA,NA,NA,,eggs not stuck together
EG025,NA,NA,,NA,CL015,E12,NA,,NA,C-23,C,23,1,NA,2019/20,,19/11/2020,NA,,0.168,9.43,5.71,NA,NA,NA,NA,NA,NA,,
EG012,NA,NA,,NA,CL007,E12,NA,,NA,C-28,C,28,1,NA,2019/20,,19/11/2018,NA,,0.179,9.21,6,NA,NA,NA,NA,NA,NA,,eggs not stuck together
EG020,NA,NA,,NA,CL012,E8,NA,,NA,C-28,C,28,1,NA,2019/20,,19/11/2018,NA,,0.127,8.17,5.43,NA,NA,NA,NA,NA,NA,,"think guich,eggs not stuck together"
EG023,NA,NA,,NA,CL013,E8,NA,,NA,C-28,C,28,1,NA,2019/20,,19/11/2018,NA,,0.121,7.75,5.37,NA,NA,NA,NA,NA,NA,,"think deli, eggs stuck together"
EG029,LD573,"""0005""",Box 1.21,m,CL017,E6,E012_M,,delicata,C-28,C,28,0,ALIVE,2019/20,,19/11/2020,19/12/2017,,0.118,8.54,4.54,NA,19/12/2017,0.106,17.784,24.733,42.517,,
EG001_20,LD001_20,"""4500""",Box 1.22,,CL001_20,E024_M,NA,E001_F120,delicata,A-28,A,28,0,ALIVE,2020/21,,20/10/2001,20/11/2002,,0.134,7.6,5.67,0.115,0.141791045,0.092,16.609,23.524,40.133,,extraction too watery
EG002_20,NA,,,,CL001_20,E024_M,NA,,delicata,A-23,A,23,1,DEAD,2020/21,,20/10/2001,,,0.145,8.63,5.45,0.13,0.103448276,,,,,9/10/2020,egg die; 9/10
EG003_20,NA,,,,CL001_20,E024_M,NA,,delicata,A-28,A,28,1,DEAD,2020/21,,20/10/2001,,,0.139,8.29,5.41,0.124,0.107913669,,,,,6/10/2020,egg die; 6/10/20
EG004_20,NA,,,,CL001_20,E024_M,NA,,delicata,A-23,A,23,1,DEAD,2020/21,,20/10/2001,,,0.129,8.19,5.4,0.114,0.11627907,,,,,6/10/2020,egg die; 6/10/20
EG005_20,NA,,,,CL001_20,E024_M,NA,,delicata,C-23,C,23,1,DEAD,2020/21,,20/10/2001,,,0.144,8.17,5.56,NA,NA,,,,,10/10/2020,egg die:10/10
EG006_20,NA,,,,CL001_20,E024_M,NA,,delicata,C-28,C,28,1,DEAD,2020/21,,20/10/2001,,,0.137,8.25,5.63,NA,NA,,,,,9/10/2020,egg die; 9/10/20
EG007_20,LG007_20,"""4000""",Box 1.22,f,CL002_20,E002_M,NA,E003_F120,guichenoti,C-28,C,28,0,ALIVE,2020/21,,20/10/2002,20/11/2004,,0.183,10.44,5.22,NA,NA,0.166,19.444,13.497,32.941,,lost tail after weigthing first time
EG008_20,NA,,,,CL002_20,E002_M,NA,,guichenoti,A-28,A,28,1,DEAD,2020/21,,20/10/2002,,,0.175,10.71,5.52,0.16,0.085714286,,,,,9/10/2020,egg die; 9/10/20
EG009_20,LG009_20,"""4050""",Box 1.22,f,CL003_20,E018_M,NA,Ind enclosure,guichenoti,A-23,A,23,0,ALIVE,2020/21,,20/10/2006,20/11/2022,,0.259,9.82,6.96,0.236,0.088803089,0.153,20.077,27.614,47.691,,extraction too watery
EG010_20,LD010_20,"""(45)050""",Box 1.22,m,CL004_20,E028_M,NA,E002_F120,delicata,A-28,A,28,0,ALIVE,2020/21,,20/10/2008,20/11/2004,,0.235,8.62,7.27,0.215,0.085106383,0.115,17.671,NA,NA,,
EG011_20,LD011_20,"""4400""",Box 1.22,f,CL004_20,E028_M,NA,E002_F120,delicata,A-28,A,28,0,ALIVE,2020/21,,20/10/2008,20/11/2003,,0.218,8.18,70.3,0.202,0.073394495,0.101,18.047,NA,NA,,
EG012_20,LD012_20,"""0005""",Box 1.22,m,CL004_20,E028_M,NA,E001_F120,delicata,A-23,A,23,0,ALIVE,2020/21,,20/10/2008,20/11/2018,,0.194,8.1,6.72,0.18,0.072164948,0.106,17.234,22.14,39.374,,
EG013_20,LD013_20,"""3030""",Box 1.22,f,CL004_20,E028_M,NA,E002_F120,delicata,C-28,C,28,0,ALIVE,2020/21,,20/10/2008,20/11/2003,,0.203,8.31,6.71,NA,NA,0.105,17.94,25.497,43.437,,
EG014_20,LD014_20,"""(34)(45)3(234)""",Box 1.22,f,CL004_20,E028_M,NA,E001_F120,delicata,C-23,C,23,0,ALIVE,2020/21,,20/10/2008,20/11/2018,,0.209,7.86,7.14,NA,NA,0.113,18.816,25.217,44.033,,
EG015_20,NA,,,,CL005_20,E010_M,NA,,delicata,A-28,A,28,1,DEAD,2020/21,,20/10/2012,,,0.148,9.37,5.19,0.139,0.060810811,,,,,15/1/2021,egg died 15/1/21; full embryo
EG016_20,NA,,,,CL005_20,E010_M,NA,,delicata,A-23,A,23,1,DEAD,2020/21,,20/10/2012,,,0.125,8.56,5.01,0.112,0.104,,,,,18/11/2021,egg die 18/11
EG017_20,NA,,,,CL005_20,E010_M,NA,,delicata,C-28,C,28,1,DEAD,2020/21,,20/10/2012,,,0.145,8.59,5.36,NA,NA,,,,,20/10/2020,most likely now dead - 20/10/20 (Eoin)
EG018_20,LD018_20,"""2220""",Box 1.23,,CL005_20,E010_M,NA,E004_F120,delicata,C-23,C,23,0,ALIVE,2020/21,,20/10/2012,20/11/2027,,0.129,8.61,5.16,NA,NA,0.13,19.57,23.813,43.383,,
EG019_20,LG019_20,,Box 1.22,,CL006_20,E001_M,NA,,guichenoti,A-23,A,23,1,DEAD,2020/21,,20/10/2014,20/12/2002,,0.266,9.89,6.99,0.249,0.063909774,0.164,21.951,27.436,49.387,,
EG020_20,LG020_20,"""(2345)403""",Box 1.23,f,CL006_20,E001_M,NA,E003_F120,guichenoti,C-23,C,23,0,ALIVE,2020/21,,20/10/2014,20/12/2003,,0.256,10.03,6.77,NA,NA,0.163,19.747,27.108,46.855,,
EG021_20,LD021_20,"""4003""",Box 1.24,,CL007_20,E009_M,NA,E013_F120,delicata,A-23,A,23,0,ALIVE,2020/21,,20/10/2016,20/12/2001,,0.209,8.31,6.85,0.192,0.081339713,0.134,19.015,25.873,44.888,,a bit watery
EG022_20,LD022_20,"""5005""",Box 1.22,,CL007_20,E009_M,NA,E001_F120,delicata,A-28,A,28,0,ALIVE,2020/21,,20/10/2016,20/11/2014,,0.172,8.44,6.12,0.155,0.098837209,0.115,18.291,23.032,41.323,,
EG023_20,NA,,,,CL007_20,E009_M,NA,,delicata,C-28,C,28,1,DEAD,2020/21,,20/10/2016,,,0.163,7.94,6.07,NA,NA,,,,,16/11/2020,egg die 16/11
EG024_20,NA,,,,CL008_20,E016_M,NA,,delicata,A-28,A,28,1,DEAD,2020/21,,20/10/2018,,,0.112,8.64,4.78,0.104,0.071428571,,,,,,"most likely dead, quite yellow but no fungus - 22/10/20 (Eoin)"
EG025_20,NA,,,,CL008_20,E016_M,NA,,delicata,A-23,A,23,1,DEAD,2020/21,,20/10/2018,,,0.105,8.73,4.67,0.088,0.161904762,,,,,19/11/2020,egg die 19/11
EG026_20,LD026_20,"""0340""",Box 1.22,,CL008_20,E016_M,NA,E001_F120,delicata,C-28,C,28,0,ALIVE,2020/21,,20/10/2018,20/11/2020,,0.114,8.07,5.09,NA,NA,0.089,17.937,21.818,39.755,,
EG027_20,LD027_20,"""2340""",Box 1.23,f,CL008_20,E016_M,NA,E008_F120,delicata,C-23,C,23,0,ALIVE,2020/21,,20/10/2018,20/12/2008,,0.114,8.6,4.88,NA,NA,0.109,17.989,22.382,40.371,,
EG028_20,LG028_20,"""(All)(All)0(34)""",Box 1.23,f,CL009_20,E006_M,NA,Ind enclosure,guichenoti,A-23,A,23,0,ALIVE,2020/21,,20/10/2018,20/12/2007,,0.225,9.75,6.51,0.207,0.08,0.149,,,,,started using insulin syringes again after this egg. All eggs after this have insulin
EG029_20,LG029_20,"""5040""",Box 1.23,f,CL009_20,E006_M,NA,E009_F120,guichenoti,C-23,C,23,0,ALIVE,2020/21,,20/10/2018,20/12/2008,,0.23,10.3,6.4,NA,NA,0.15,21.106,24.149,45.255,,"photo with LD, not LG"
EG030_20,LG030_20,"""3303",Box 1.23,,CL010_20,E004_M,NA,E006_F120,guichenoti,A-23,A,23,1,DEAD,2020/21,,20/10/2018,20/12/2003,,0.26,9.95,6.99,0.243,0.065384615,0.17,21.017,25.047,46.064,18/10/2022,a bit watery; dead 18/10/22
EG031_20,LG031_20,"""(34)220""",Box 1.23,f,CL010_20,E004_M,NA,E006_F120,guichenoti,C-23,C,23,0,ALIVE,2020/21,,20/10/2018,20/12/2004,,0.262,10.06,6.87,NA,NA,0.181,20.87,24.833,45.703,,
EG032_20,LG032_20,"""0502""",Box 1.23,,CL011_20,E005_M,NA,E011_F120,guichenoti,C-23,C,23,0,ALIVE,2020/21,,20/10/2020,20/12/2011,,0.203,9.9,5.98,NA,NA,0.165,19.211,27.654,46.865,,
EG033_20,LG033_20,"""(245)54(25)""",Box 1.22,m,CL011_20,E005_M,NA,E003_F120,guichenoti,A-28,A,28,0,ALIVE,2020/21,,20/10/2020,20/11/2022,,0.192,9.12,6.05,0.182,0.052083333,0.148,20.189,25.198,45.387,,
EG034_20,NA,,,,CL011_20,E005_M,NA,,guichenoti,A-23,A,23,1,DEAD,2020/21,,20/10/2020,,,0.193,9.27,6.14,0.163,0.155440415,,,,,12/12/2020,egg died 12/12/20
EG035_20,LD035_20,"""003(23)""",Box 1.24,f,CL012_20,E016_M,NA,E018_F120,delicata,C-23,C,23,0,ALIVE,2020/21,,20/10/2020,20/12/2007,,0.137,9.04,5.34,NA,NA,0.112,17.167,22.305,39.472,,
EG036_20,LD036_20,"""005(2345)""",Box 1.22,m,CL012_20,E016_M,NA,E001_F120,delicata,A-28,A,28,0,ALIVE,2020/21,,20/10/2020,20/11/2022,,0.136,9.39,4.95,0.115,0.154411765,0.094,18.438,23.825,42.263,,
EG037_20,LD037_20,"""5403""",Box 1.23,,CL012_20,E016_M,NA,E007_F120,delicata,A-23,A,23,1,DEAD,2020/21,,20/10/2020,20/12/2008,,0.131,8.88,5.35,0.116,0.114503817,0.097,18.083,20.54,38.623,17/10/2022,Dead 17/10/2022
EG038_20,LD038_20,"""0(35)40""",Box 1.22,m,CL012_20,E016_M,NA,E021_M,delicata,C-28,C,28,0,ALIVE,2020/21,,20/10/2020,20/11/2020,,0.137,9.38,5.22,NA,NA,0.12,18.859,24.079,42.938,,
EG039_20,LG039_20,"""0522""",Box 1.24,,CL013_20,E001_M,NA,E012_F120,guichenoti,C-23,C,23,1,DEAD,2020/21,,20/10/2020,20/12/2009,,0.148,7.88,6.11,NA,NA,0.115,18.067,24.606,42.673,,Died 
EG040_20,LG040_20,NA,Box 1.22,,CL013_20,E001_M,NA,,guichenoti,A-28,A,28,1,DEAD,2020/21,,20/10/2020,20/11/2019,,0.157,8.34,5.92,0.131,0.165605096,0.103,18.295,25.098,43.393,18/12/2020,Died 18/12/20
